0    [main] INFO  org.eclipse.jetty.server.Server  – jetty-8.1.10.v20130312
47   [main] INFO  org.eclipse.jetty.deploy.providers.ScanningAppProvider  – Deployment monitor /usr/local/Cellar/solr/4.8.1/libexec/example/contexts at interval 0
67   [main] INFO  org.eclipse.jetty.deploy.DeploymentManager  – Deployable added: /usr/local/Cellar/solr/4.8.1/libexec/example/contexts/solr-jetty-context.xml
2012 [main] INFO  org.eclipse.jetty.webapp.StandardDescriptorProcessor  – NO JSP Support for /solr, did not find org.apache.jasper.servlet.JspServlet
2132179 [qtp600746945-19] INFO  org.apache.solr.core.SolrCore  – [bdddatalineage] webapp=/solr path=/select/ params={q=(tDb:db1+AND+tTb:*tb*)&json.wrf=jQuery214023229501745663583_1447897817639&group.main=true&fl=tTb&wt=json&group.field=tTb&group=true} hits=14 status=0 QTime=4 
2132908 [qtp600746945-19] INFO  org.apache.solr.core.SolrCore  – [bdddatalineage] webapp=/solr path=/select params={q=(tDb:db1+AND+tTb:tbl1_1)&json.wrf=jQuery214023229501745663583_1447897817639&sort=sDb+asc&sort=sTb+asc&rows=1000&wt=json&_=1447897817640} hits=4 status=0 QTime=1 
2172362 [qtp600746945-19] INFO  org.apache.solr.core.SolrCore  – [bdddatalineage] webapp=/solr path=/select params={q=(tDb:db1+AND+tTb:tbl1_2)&json.wrf=jQuery214023229501745663583_1447897817639&sort=sDb+asc&sort=sTb+asc&rows=1000&wt=json&_=1447897817641} hits=9 status=0 QTime=1 
2236260 [qtp600746945-13] INFO  org.apache.solr.core.SolrCore  – [bdddatalineage] webapp=/solr path=/select/ params={q=(tDb:*db*)&json.wrf=jQuery214006107526156120002_1447897924363&group.main=true&fl=tDb&wt=json&group.field=tDb&group=true} hits=16 status=0 QTime=3 
2238907 [qtp600746945-13] INFO  org.apache.solr.core.SolrCore  – [bdddatalineage] webapp=/solr path=/select/ params={q=(tDb:db1+AND+tTb:*tb*)&json.wrf=jQuery214006107526156120002_1447897924363&group.main=true&fl=tTb&wt=json&group.field=tTb&group=true} hits=14 status=0 QTime=3 
2239610 [qtp600746945-13] INFO  org.apache.solr.core.SolrCore  – [bdddatalineage] webapp=/solr path=/select params={q=(tDb:db1+AND+tTb:tbl1_2)&json.wrf=jQuery214006107526156120002_1447897924363&sort=sDb+asc&sort=sTb+asc&rows=1000&wt=json&_=1447897924364} hits=9 status=0 QTime=1 
2700956 [qtp600746945-19] INFO  org.apache.solr.core.SolrCore  – [bdddatalineage] webapp=/solr path=/select/ params={q=(tDb:*tb*)&json.wrf=jQuery2140712516296422109_1447898388414&group.main=true&fl=tDb&wt=json&group.field=tDb&group=true} hits=0 status=0 QTime=3 
2701427 [qtp600746945-19] INFO  org.apache.solr.core.SolrCore  – [bdddatalineage] webapp=/solr path=/select/ params={q=(tDb:*t*)&json.wrf=jQuery2140712516296422109_1447898388414&group.main=true&fl=tDb&wt=json&group.field=tDb&group=true} hits=0 status=0 QTime=3 
2701936 [qtp600746945-19] INFO  org.apache.solr.core.SolrCore  – [bdddatalineage] webapp=/solr path=/select/ params={q=(tDb:*db*)&json.wrf=jQuery2140712516296422109_1447898388414&group.main=true&fl=tDb&wt=json&group.field=tDb&group=true} hits=16 status=0 QTime=3 
2703634 [qtp600746945-19] INFO  org.apache.solr.core.SolrCore  – [bdddatalineage] webapp=/solr path=/select/ params={q=(tDb:db1+AND+tTb:*tb*)&json.wrf=jQuery2140712516296422109_1447898388414&group.main=true&fl=tTb&wt=json&group.field=tTb&group=true} hits=14 status=0 QTime=5 
2704426 [qtp600746945-19] INFO  org.apache.solr.core.SolrCore  – [bdddatalineage] webapp=/solr path=/select params={q=(tDb:db1+AND+tTb:tbl1_1)&json.wrf=jQuery2140712516296422109_1447898388414&sort=sDb+asc&sort=sTb+asc&rows=1000&wt=json&_=1447898388415} hits=4 status=0 QTime=1 
2738418 [qtp600746945-19] INFO  org.apache.solr.core.SolrCore  – [bdddatalineage] webapp=/solr path=/select/ params={q=(tDb:*db*)&json.wrf=jQuery214035973520623520017_1447898427284&group.main=true&fl=tDb&wt=json&group.field=tDb&group=true} hits=16 status=0 QTime=3 
2740172 [qtp600746945-19] INFO  org.apache.solr.core.SolrCore  – [bdddatalineage] webapp=/solr path=/select/ params={q=(tDb:db1+AND+tTb:*tv*)&json.wrf=jQuery214035973520623520017_1447898427284&group.main=true&fl=tTb&wt=json&group.field=tTb&group=true} hits=0 status=0 QTime=2 
2740886 [qtp600746945-19] INFO  org.apache.solr.core.SolrCore  – [bdddatalineage] webapp=/solr path=/select/ params={q=(tDb:db1+AND+tTb:*tb*)&json.wrf=jQuery214035973520623520017_1447898427284&group.main=true&fl=tTb&wt=json&group.field=tTb&group=true} hits=14 status=0 QTime=4 
2741609 [qtp600746945-19] INFO  org.apache.solr.core.SolrCore  – [bdddatalineage] webapp=/solr path=/select params={q=(tDb:db1+AND+tTb:tbl1_1)&json.wrf=jQuery214035973520623520017_1447898427284&sort=sDb+asc&sort=sTb+asc&rows=1000&wt=json&_=1447898427285} hits=4 status=0 QTime=2 
2817645 [qtp600746945-13] INFO  org.apache.solr.core.SolrCore  – [bdddatalineage] webapp=/solr path=/select/ params={q=(tDb:*db*)&json.wrf=jQuery21407399596525356174_1447898506530&group.main=true&fl=tDb&wt=json&group.field=tDb&group=true} hits=16 status=0 QTime=3 
2819401 [qtp600746945-13] INFO  org.apache.solr.core.SolrCore  – [bdddatalineage] webapp=/solr path=/select/ params={q=(tDb:db1+AND+tTb:*tb*)&json.wrf=jQuery21407399596525356174_1447898506530&group.main=true&fl=tTb&wt=json&group.field=tTb&group=true} hits=14 status=0 QTime=3 
2819974 [qtp600746945-13] INFO  org.apache.solr.core.SolrCore  – [bdddatalineage] webapp=/solr path=/select params={q=(tDb:db1+AND+tTb:tbl1_1)&json.wrf=jQuery21407399596525356174_1447898506530&sort=sDb+asc&sort=sTb+asc&rows=1000&wt=json&_=1447898506531} hits=4 status=0 QTime=1 
2856628 [qtp600746945-13] INFO  org.apache.solr.core.SolrCore  – [bdddatalineage] webapp=/solr path=/select/ params={q=(tDb:*d*)&json.wrf=jQuery21407459530609194189_1447898545789&group.main=true&fl=tDb&wt=json&group.field=tDb&group=true} hits=16 status=0 QTime=2 
2856967 [qtp600746945-13] INFO  org.apache.solr.core.SolrCore  – [bdddatalineage] webapp=/solr path=/select/ params={q=(tDb:*db*)&json.wrf=jQuery21407459530609194189_1447898545789&group.main=true&fl=tDb&wt=json&group.field=tDb&group=true} hits=16 status=0 QTime=3 
2858401 [qtp600746945-13] INFO  org.apache.solr.core.SolrCore  – [bdddatalineage] webapp=/solr path=/select/ params={q=(tDb:db1+AND+tTb:*t*)&json.wrf=jQuery21407459530609194189_1447898545789&group.main=true&fl=tTb&wt=json&group.field=tTb&group=true} hits=14 status=0 QTime=3 
2858729 [qtp600746945-13] INFO  org.apache.solr.core.SolrCore  – [bdddatalineage] webapp=/solr path=/select/ params={q=(tDb:db1+AND+tTb:*tb*)&json.wrf=jQuery21407459530609194189_1447898545789&group.main=true&fl=tTb&wt=json&group.field=tTb&group=true} hits=14 status=0 QTime=3 
2859323 [qtp600746945-13] INFO  org.apache.solr.core.SolrCore  – [bdddatalineage] webapp=/solr path=/select params={q=(tDb:db1+AND+tTb:tbl1_1)&json.wrf=jQuery21407459530609194189_1447898545789&sort=sDb+asc&sort=sTb+asc&rows=1000&wt=json&_=1447898545790} hits=4 status=0 QTime=1 
2888914 [qtp600746945-13] INFO  org.apache.solr.core.SolrCore  – [bdddatalineage] webapp=/solr path=/select/ params={q=(tDb:*db*)&json.wrf=jQuery21406071137187536806_1447898577587&group.main=true&fl=tDb&wt=json&group.field=tDb&group=true} hits=16 status=0 QTime=3 
2903854 [qtp600746945-13] INFO  org.apache.solr.core.SolrCore  – [bdddatalineage] webapp=/solr path=/select/ params={q=(tDb:*db*)&json.wrf=jQuery2140814678763737902_1447898592871&group.main=true&fl=tDb&wt=json&group.field=tDb&group=true} hits=16 status=0 QTime=3 
2905377 [qtp600746945-13] INFO  org.apache.solr.core.SolrCore  – [bdddatalineage] webapp=/solr path=/select/ params={q=(tDb:db1+AND+tTb:*tb*)&json.wrf=jQuery2140814678763737902_1447898592871&group.main=true&fl=tTb&wt=json&group.field=tTb&group=true} hits=14 status=0 QTime=2 
2906264 [qtp600746945-13] INFO  org.apache.solr.core.SolrCore  – [bdddatalineage] webapp=/solr path=/select params={q=(tDb:db1+AND+tTb:tbl1_1)&json.wrf=jQuery2140814678763737902_1447898592871&sort=sDb+asc&sort=sTb+asc&rows=1000&wt=json&_=1447898592872} hits=4 status=0 QTime=1 
2917713 [qtp600746945-13] INFO  org.apache.solr.core.SolrCore  – [bdddatalineage] webapp=/solr path=/select/ params={q=(tDb:*db*)&json.wrf=jQuery21402660119328647852_1447898606587&group.main=true&fl=tDb&wt=json&group.field=tDb&group=true} hits=16 status=0 QTime=3 
2918252 [qtp600746945-13] INFO  org.apache.solr.core.SolrCore  – [bdddatalineage] webapp=/solr path=/select/ params={q=(tDb:*db1*)&json.wrf=jQuery21402660119328647852_1447898606587&group.main=true&fl=tDb&wt=json&group.field=tDb&group=true} hits=14 status=0 QTime=3 
2920006 [qtp600746945-13] INFO  org.apache.solr.core.SolrCore  – [bdddatalineage] webapp=/solr path=/select/ params={q=(tDb:db1+AND+tTb:*tb*)&json.wrf=jQuery21402660119328647852_1447898606587&group.main=true&fl=tTb&wt=json&group.field=tTb&group=true} hits=14 status=0 QTime=3 
2920681 [qtp600746945-13] INFO  org.apache.solr.core.SolrCore  – [bdddatalineage] webapp=/solr path=/select params={q=(tDb:db1+AND+tTb:tbl1_2)&json.wrf=jQuery21402660119328647852_1447898606587&sort=sDb+asc&sort=sTb+asc&rows=1000&wt=json&_=1447898606588} hits=9 status=0 QTime=1 
24875569 [qtp600746945-12] INFO  org.apache.solr.core.SolrCore  – [bdddatalineage] webapp=/solr path=/select/ params={q=(tDb:*db1*)&json.wrf=jQuery21403997591375373304_1447920563856&group.main=true&fl=tDb&wt=json&group.field=tDb&group=true} hits=14 status=0 QTime=54 
24877263 [qtp600746945-12] INFO  org.apache.solr.core.SolrCore  – [bdddatalineage] webapp=/solr path=/select/ params={q=(tDb:db1+AND+tTb:*tb*)&json.wrf=jQuery21403997591375373304_1447920563856&group.main=true&fl=tTb&wt=json&group.field=tTb&group=true} hits=14 status=0 QTime=3 
24877950 [qtp600746945-12] INFO  org.apache.solr.core.SolrCore  – [bdddatalineage] webapp=/solr path=/select params={q=(tDb:db1+AND+tTb:tbl1_2)&json.wrf=jQuery21403997591375373304_1447920563856&sort=sDb+asc&sort=sTb+asc&rows=1000&wt=json&_=1447920563857} hits=9 status=0 QTime=1 
25904660 [qtp600746945-16] INFO  org.apache.solr.core.SolrCore  – [bdddatalineage] webapp=/solr path=/select/ params={q=(tDb:*db1*)&json.wrf=jQuery214048380827461369336_1447921592093&group.main=true&fl=tDb&wt=json&group.field=tDb&group=true} hits=14 status=0 QTime=5 
25906562 [qtp600746945-16] INFO  org.apache.solr.core.SolrCore  – [bdddatalineage] webapp=/solr path=/select/ params={q=(tDb:db1+AND+tTb:*tb*)&json.wrf=jQuery214048380827461369336_1447921592093&group.main=true&fl=tTb&wt=json&group.field=tTb&group=true} hits=14 status=0 QTime=3 
25907179 [qtp600746945-16] INFO  org.apache.solr.core.SolrCore  – [bdddatalineage] webapp=/solr path=/select params={q=(tDb:db1+AND+tTb:tbl1_1)&json.wrf=jQuery214048380827461369336_1447921592093&sort=sDb+asc&sort=sTb+asc&rows=1000&wt=json&_=1447921592094} hits=4 status=0 QTime=1 
29941252 [qtp600746945-11] INFO  org.apache.solr.core.SolrCore  – [bdddatalineage] webapp=/solr path=/select/ params={q=(tDb:*db*)&json.wrf=jQuery21407569703850895166_1447925628949&group.main=true&fl=tDb&wt=json&group.field=tDb&group=true} hits=16 status=0 QTime=5 
29942908 [qtp600746945-11] INFO  org.apache.solr.core.SolrCore  – [bdddatalineage] webapp=/solr path=/select/ params={q=(tDb:db1+AND+tTb:*tb*)&json.wrf=jQuery21407569703850895166_1447925628949&group.main=true&fl=tTb&wt=json&group.field=tTb&group=true} hits=14 status=0 QTime=3 
29943305 [qtp600746945-11] INFO  org.apache.solr.core.SolrCore  – [bdddatalineage] webapp=/solr path=/select params={q=(tDb:db1+AND+tTb:tbl1_1)&json.wrf=jQuery21407569703850895166_1447925628949&sort=sDb+asc&sort=sTb+asc&rows=1000&wt=json&_=1447925628950} hits=4 status=0 QTime=0 
29947961 [qtp600746945-11] INFO  org.apache.solr.core.SolrCore  – [bdddatalineage] webapp=/solr path=/select params={q=(tDb:db1+AND+tTb:tbl1_2)&json.wrf=jQuery21407569703850895166_1447925628949&sort=sDb+asc&sort=sTb+asc&rows=1000&wt=json&_=1447925628951} hits=9 status=0 QTime=1 
30317207 [qtp600746945-15] INFO  org.apache.solr.core.SolrCore  – [bdddatalineage] webapp=/solr path=/select/ params={q=(tDb:db1+AND+tTb:*tbl*)&json.wrf=jQuery21407569703850895166_1447925628949&group.main=true&fl=tTb&wt=json&group.field=tTb&group=true} hits=14 status=0 QTime=3 
30317973 [qtp600746945-15] INFO  org.apache.solr.core.SolrCore  – [bdddatalineage] webapp=/solr path=/select params={q=(tDb:db1+AND+tTb:tbl1_3)&json.wrf=jQuery21407569703850895166_1447925628949&sort=sDb+asc&sort=sTb+asc&rows=1000&wt=json&_=1447925628952} hits=1 status=0 QTime=1 
30363954 [qtp600746945-15] INFO  org.apache.solr.core.SolrCore  – [bdddatalineage] webapp=/solr path=/select/ params={q=(tDb:*tb1*)&json.wrf=jQuery21407246116583701223_1447926052424&group.main=true&fl=tDb&wt=json&group.field=tDb&group=true} hits=0 status=0 QTime=3 
30365415 [qtp600746945-15] INFO  org.apache.solr.core.SolrCore  – [bdddatalineage] webapp=/solr path=/select/ params={q=(tDb:*t*)&json.wrf=jQuery21407246116583701223_1447926052424&group.main=true&fl=tDb&wt=json&group.field=tDb&group=true} hits=0 status=0 QTime=1 
30365872 [qtp600746945-15] INFO  org.apache.solr.core.SolrCore  – [bdddatalineage] webapp=/solr path=/select/ params={q=(tDb:*db*)&json.wrf=jQuery21407246116583701223_1447926052424&group.main=true&fl=tDb&wt=json&group.field=tDb&group=true} hits=16 status=0 QTime=3 
30367551 [qtp600746945-15] INFO  org.apache.solr.core.SolrCore  – [bdddatalineage] webapp=/solr path=/select/ params={q=(tDb:db1+AND+tTb:*tb*)&json.wrf=jQuery21407246116583701223_1447926052424&group.main=true&fl=tTb&wt=json&group.field=tTb&group=true} hits=14 status=0 QTime=3 
30368449 [qtp600746945-15] INFO  org.apache.solr.core.SolrCore  – [bdddatalineage] webapp=/solr path=/select params={q=(tDb:db1+AND+tTb:tbl1_1)&json.wrf=jQuery21407246116583701223_1447926052424&sort=sDb+asc&sort=sTb+asc&rows=1000&wt=json&_=1447926052425} hits=4 status=0 QTime=1 
30372037 [qtp600746945-15] INFO  org.apache.solr.core.SolrCore  – [bdddatalineage] webapp=/solr path=/select params={q=(tDb:db1+AND+tTb:tbl1_2)&json.wrf=jQuery21407246116583701223_1447926052424&sort=sDb+asc&sort=sTb+asc&rows=1000&wt=json&_=1447926052426} hits=9 status=0 QTime=1 
30377986 [qtp600746945-15] INFO  org.apache.solr.core.SolrCore  – [bdddatalineage] webapp=/solr path=/select params={q=(tDb:db1+AND+tTb:tbl1_3)&json.wrf=jQuery21407246116583701223_1447926052424&sort=sDb+asc&sort=sTb+asc&rows=1000&wt=json&_=1447926052427} hits=1 status=0 QTime=1 
30382103 [qtp600746945-15] INFO  org.apache.solr.core.SolrCore  – [bdddatalineage] webapp=/solr path=/select/ params={q=(tDb:db1+AND+tTb:*tb1*)&json.wrf=jQuery21407246116583701223_1447926052424&group.main=true&fl=tTb&wt=json&group.field=tTb&group=true} hits=0 status=0 QTime=3 
30384986 [qtp600746945-15] INFO  org.apache.solr.core.SolrCore  – [bdddatalineage] webapp=/solr path=/select params={q=(tDb:db1+AND+tTb:tbl1_1)&json.wrf=jQuery21407246116583701223_1447926052424&sort=sDb+asc&sort=sTb+asc&rows=1000&wt=json&_=1447926052428} hits=4 status=0 QTime=2 
30389354 [qtp600746945-15] INFO  org.apache.solr.core.SolrCore  – [bdddatalineage] webapp=/solr path=/select params={q=(tDb:db1+AND+tTb:tbl1_2)&json.wrf=jQuery21407246116583701223_1447926052424&sort=sDb+asc&sort=sTb+asc&rows=1000&wt=json&_=1447926052429} hits=9 status=0 QTime=1 
30752134 [qtp600746945-19] INFO  org.apache.solr.core.SolrCore  – [bdddatalineage] webapp=/solr path=/select/ params={q=(tDb:db1+AND+tTb:*tb;*)&json.wrf=jQuery21407246116583701223_1447926052424&group.main=true&fl=tTb&wt=json&group.field=tTb&group=true} hits=0 status=0 QTime=4 
30753013 [qtp600746945-19] INFO  org.apache.solr.core.SolrCore  – [bdddatalineage] webapp=/solr path=/select/ params={q=(tDb:db1+AND+tTb:*tbl*)&json.wrf=jQuery21407246116583701223_1447926052424&group.main=true&fl=tTb&wt=json&group.field=tTb&group=true} hits=14 status=0 QTime=5 
30754247 [qtp600746945-19] INFO  org.apache.solr.core.SolrCore  – [bdddatalineage] webapp=/solr path=/select params={q=(tDb:db1+AND+tTb:tbl1_1)&json.wrf=jQuery21407246116583701223_1447926052424&sort=sDb+asc&sort=sTb+asc&rows=1000&wt=json&_=1447926052430} hits=4 status=0 QTime=1 
30758069 [qtp600746945-19] INFO  org.apache.solr.core.SolrCore  – [bdddatalineage] webapp=/solr path=/select params={q=(tDb:db1+AND+tTb:tbl1_2)&json.wrf=jQuery21407246116583701223_1447926052424&sort=sDb+asc&sort=sTb+asc&rows=1000&wt=json&_=1447926052431} hits=9 status=0 QTime=1 
35550632 [qtp600746945-13] INFO  org.apache.solr.core.SolrCore  – [bdddatalineage] webapp=/solr path=/select/ params={q=(tDb:*db*)&json.wrf=jQuery21406868981048464775_1447931234501&group.main=true&fl=tDb&wt=json&group.field=tDb&group=true} hits=16 status=0 QTime=21 
35554266 [qtp600746945-13] INFO  org.apache.solr.core.SolrCore  – [bdddatalineage] webapp=/solr path=/select/ params={q=(tDb:db1+AND+tTb:*tb*)&json.wrf=jQuery21406868981048464775_1447931234501&group.main=true&fl=tTb&wt=json&group.field=tTb&group=true} hits=14 status=0 QTime=4 
35556980 [qtp600746945-13] INFO  org.apache.solr.core.SolrCore  – [bdddatalineage] webapp=/solr path=/select params={q=(tDb:db1+AND+tTb:tbl1_2)&json.wrf=jQuery21406868981048464775_1447931234501&sort=sDb+asc&sort=sTb+asc&rows=1000&wt=json&_=1447931234502} hits=9 status=0 QTime=1 
35594226 [qtp600746945-13] INFO  org.apache.solr.core.SolrCore  – [bdddatalineage] webapp=/solr path=/select params={q=(tDb:db1+AND+tTb:tbl1_1)&json.wrf=jQuery21406868981048464775_1447931234501&sort=sDb+asc&sort=sTb+asc&rows=1000&wt=json&_=1447931234503} hits=4 status=0 QTime=2 
35613770 [qtp600746945-13] INFO  org.apache.solr.core.SolrCore  – [bdddatalineage] webapp=/solr path=/select params={q=(tDb:db1+AND+tTb:tbl1_2)&json.wrf=jQuery21406868981048464775_1447931234501&sort=sDb+asc&sort=sTb+asc&rows=1000&wt=json&_=1447931234504} hits=9 status=0 QTime=4 
