0    [main] INFO  org.eclipse.jetty.server.Server  – jetty-8.1.10.v20130312
47   [main] INFO  org.eclipse.jetty.deploy.providers.ScanningAppProvider  – Deployment monitor /usr/local/Cellar/solr/4.8.1/libexec/example/contexts at interval 0
67   [main] INFO  org.eclipse.jetty.deploy.DeploymentManager  – Deployable added: /usr/local/Cellar/solr/4.8.1/libexec/example/contexts/solr-jetty-context.xml
2012 [main] INFO  org.eclipse.jetty.webapp.StandardDescriptorProcessor  – NO JSP Support for /solr, did not find org.apache.jasper.servlet.JspServlet
3695 [coreLoadExecutor-4-thread-2] INFO  org.apache.solr.core.SolrCore  – solr.StandardDirectoryFactory
3727 [coreLoadExecutor-4-thread-1] INFO  org.apache.solr.core.SolrCore  – [core0] Opening new SolrCore at /Users/ankittharwani/Work/os/solr/data/core0/, dataDir=/Users/ankittharwani/Work/os/solr/data/core0/data/
3728 [coreLoadExecutor-4-thread-1] INFO  org.apache.solr.core.SolrCore  – JMX monitoring not detected for core: core0
3727 [coreLoadExecutor-4-thread-3] INFO  org.apache.solr.core.SolrCore  – [bdddatalineage] Opening new SolrCore at /Users/ankittharwani/Work/os/solr/data/bdddatalineage/, dataDir=/Users/ankittharwani/Work/os/solr/data/bdddatalineage/data/
3729 [coreLoadExecutor-4-thread-3] INFO  org.apache.solr.core.SolrCore  – JMX monitoring not detected for core: bdddatalineage
3728 [coreLoadExecutor-4-thread-2] INFO  org.apache.solr.core.SolrCore  – [core1] Opening new SolrCore at /Users/ankittharwani/Work/os/solr/data/core1/, dataDir=/Users/ankittharwani/Work/os/solr/data/core1/data/
3730 [coreLoadExecutor-4-thread-2] INFO  org.apache.solr.core.SolrCore  – JMX monitoring not detected for core: core1
3754 [coreLoadExecutor-4-thread-3] INFO  org.apache.solr.core.CachingDirectoryFactory  – return new directory for /Users/ankittharwani/Work/os/solr/data/bdddatalineage/data
3754 [coreLoadExecutor-4-thread-1] INFO  org.apache.solr.core.CachingDirectoryFactory  – return new directory for /Users/ankittharwani/Work/os/solr/data/core0/data
3754 [coreLoadExecutor-4-thread-2] INFO  org.apache.solr.core.CachingDirectoryFactory  – return new directory for /Users/ankittharwani/Work/os/solr/data/core1/data
3799 [coreLoadExecutor-4-thread-2] INFO  org.apache.solr.core.SolrCore  – New index directory detected: old=null new=/Users/ankittharwani/Work/os/solr/data/core1/data/index/
3800 [coreLoadExecutor-4-thread-1] INFO  org.apache.solr.core.SolrCore  – New index directory detected: old=null new=/Users/ankittharwani/Work/os/solr/data/core0/data/index/
3800 [coreLoadExecutor-4-thread-3] INFO  org.apache.solr.core.SolrCore  – New index directory detected: old=null new=/Users/ankittharwani/Work/os/solr/data/bdddatalineage/data/index/
3801 [coreLoadExecutor-4-thread-1] INFO  org.apache.solr.core.CachingDirectoryFactory  – return new directory for /Users/ankittharwani/Work/os/solr/data/core0/data/index
3801 [coreLoadExecutor-4-thread-2] INFO  org.apache.solr.core.CachingDirectoryFactory  – return new directory for /Users/ankittharwani/Work/os/solr/data/core1/data/index
3803 [coreLoadExecutor-4-thread-3] INFO  org.apache.solr.core.CachingDirectoryFactory  – return new directory for /Users/ankittharwani/Work/os/solr/data/bdddatalineage/data/index
3983 [coreLoadExecutor-4-thread-3] INFO  org.apache.solr.core.SolrCore  – no updateRequestProcessorChain defined as default, creating implicit default
